,name,description,longitude,latitude,category,country
134063,ANDREWZ Ganj extension Community Centre,,77.2295936,28.5604456,Scenic View,India
134064,ANIMALS ZOO,,75.1613051,27.6234501,Zoo,India
134065,AP State Seeds Development,,80.6896771,16.5224694,Museum,India
134066,AP State Tourism Boating Park,,78.1120488,15.7897292,Tourist Attraction,India
134067,APMC AMRAVATI,,77.7572431,20.9476871,Museum,India
134068,APTDC Restaurant,,80.1705399,14.4229593,Tourist Attraction,India
134069,ARISTRON INSTRUMENTION,,72.8445614,21.2098332,Scenic View,India
134070,ASHAGIRI CB 42,,77.3982153,32.4301992,Natural Landmark,India
134071,AUDUMBAR,,74.470449,17.0039109,Tourist Attraction,India
134072,AVR Roundabout ,,78.1279485,11.6757518,Monument,India
134073,Aadri Beach,,70.2791195,20.9595645,Tourist Attraction,India
134074,Aaganbadi Kendra Hinnod,,78.6858634,23.6962092,Museum,India
134075,Aagarzari Gate Buffer Zone,,79.3275203,20.1380498,Tourist Attraction,India
134076,Aakalagavi,,74.5264097,14.9973227,Tourist Attraction,India
134077,Aam Khas Bagh,,76.397306,30.6366505,Tourist Attraction,India
134078,Aanebetta,,77.6642579,13.3405911,Scenic View,India
134079,AARATTU KADAVU AARCH,,76.5024524,9.6114648,Tourist Attraction,India
134080,Aare Ware View Point,,73.2838941,17.0800254,Scenic View,India
134081,Aarti,,78.3082107,30.1124073,Tourist Attraction,India
134082,Aarti,,78.3115271,30.1227279,Tourist Attraction,India
134083,Aarti,,78.3115142,30.1193065,Tourist Attraction,India
134084,Aayagararamala,,77.2517106,12.701639,Art Gallery,India
134085,Abandoned House,,76.935892,10.9369511,Historical Ruins,India
134086,Abandoned House,,76.9210582,10.9366041,Historical Ruins,India
134087,Abandoned House,,76.9216693,10.9371202,Historical Ruins,India
134088,Abandoned House,,76.9204834,10.9211595,Historical Ruins,India
134089,Abandoned House,,76.9202609,10.9191124,Historical Ruins,India
134090,Abandoned Stone Mine,,77.1680459,28.309017,Scenic View,India
134091,Abandoned Union Carbide Plant,,77.4098061,23.2808461,Tourist Attraction,India
134092,Abandoned buildings,,88.4636504,27.0534372,Historical Ruins,India
134093,Abanindranath Tagore's Baganbari,,88.359933,22.6966439,Museum,India
134094,Abbi Falls,,75.715671,12.4570242,Tourist Attraction,India
134095,Abbot Mount,,80.1089358,29.4282259,Natural Landmark,India
134096,Abi Gamin,,79.5999776,30.9317883,Natural Landmark,India
134097,Abraham View Point,,93.026581,25.14751,Scenic View,India
134098,Abyss Marine Fish Aquarium,,73.9259669,15.3741003,Tourist Attraction,India
134099,Access to Madavoorpara Rock viewpoints,,76.905139,8.5942984,Tourist Attraction,India
134100,Acharya Roy Park,,88.3771355,22.4641204,Theme Park,India
134101,Ache,,77.7177143,32.2780985,Natural Landmark,India
134102,Achhrandra Tibba,,78.1541312,30.6354565,Natural Landmark,India
134103,Achhte,,82.8184087,26.4639593,Tourist Attraction,India
134104,Achipur Chinese Temple,,88.1290561,22.4509742,Tourist Attraction,India
134105,Achutrajpur,,85.1673161,19.7751174,Archaeological Site,India
134106,Adari,,75.4438018,33.8290005,Natural Landmark,India
134107,Adat hill top,,76.1462764,10.5468804,Natural Landmark,India
134108,Adda Gattu,,80.6010753,16.910285,Natural Landmark,India
134109,Adda Konda,,81.6389751,17.4008516,Natural Landmark,India
134110,Adda Konda,,81.6866004,17.685701,Natural Landmark,India
134111,Adi Kailash,,80.6327016,30.3193775,Natural Landmark,India
134112,Adi Keshava Ghat,,83.0428908,25.3290192,Tourist Attraction,India
134113,AdiYogi Viewpoint,,77.7176278,13.4797229,Scenic View,India
134114,Adichunchanagiri,,76.7440123,13.0239739,Natural Landmark,India
134115,Adsule Pinnacle,,72.9324818,19.7993158,Natural Landmark,India
134116,Adventure Zone,,77.0677839,8.9587542,Tourist Attraction,India
134117,Adventure zone,,76.8882207,8.509063,Tourist Attraction,India
134118,Advocates Colony,,79.5563418,17.9940454,Zoo,India
134119,Aera,,79.4304335,30.3429264,Natural Landmark,India
134120,Aerial Bay Panorama,,93.0252417,13.2827789,Scenic View,India
134121,Aeroplane,,78.0796982,30.2714588,Tourist Attraction,India
134122,African Buffalo,,76.6667313,12.2991446,Tourist Attraction,India
134123,African Elephant,,76.6690455,12.2987776,Tourist Attraction,India
134124,African Slender-snouted Crocodile,,76.666163,12.2992154,Tourist Attraction,India
134125,Afsarwala's Mosque,,77.2478392,28.592771,Archaeological Site,India
134126,Aftab home,,87.6280331,25.5876846,Tourist Attraction,India
134127,Aganashini,,74.3669581,14.5132385,Natural Landmark,India
134128,Agariya huts and salt pans,,71.5350248,23.2798558,Scenic View,India
134129,Agash Mandu,,75.4814679,33.4084665,Natural Landmark,India
134130,Agasthyamala,,77.2458159,8.6159957,Natural Landmark,India
134131,Agasthyar Falls,,77.3639265,8.7040092,Tourist Attraction,India
134132,Aghanjar Mahadev Mandir,,76.3726793,32.2114107,Tourist Attraction,India
134133,Aghoreshwar Bhagwam Ram Ghat,,83.0131538,25.2757315,Tourist Attraction,India
134134,Agni fiber boards,,73.1441257,22.0685555,Tourist Attraction,India
134135,Agnigarh Hill,,92.8023291,26.6173445,Scenic View,India
134136,Agra Gate,,77.6760437,27.1017948,Monument,India
134137,Agresan Bhavan,,79.0541143,21.1468697,Tourist Attraction,India
134138,Agricultural Science Museum,,77.5916301,13.0736184,Museum,India
